Elapsed Time,1-instances-per-model-batch-1-time-2000,1-instances-per-model-batch-3-time-2000,1-instances-per-model-batch-5-time-2000,2-instances-per-model-batch-1-time-2000,2-instances-per-model-batch-3-time-2000,2-instances-per-model-batch-5-time-2000,3-instances-per-model-batch-1-time-2000,3-instances-per-model-batch-3-time-2000,3-instances-per-model-batch-5-time-2000,4-instances-per-model-batch-1-time-2000,4-instances-per-model-batch-3-time-2000,4-instances-per-model-batch-5-time-2000
73595.0,,,,,,,,5.321,,,,
73670.0,,,,,,,,,,,4.822,
74008.0,,,,,,,,,,5.84,,
74010.0,,,,,,,,,,5.843,,
74515.0,,,,,,,7.575,,,,,
74770.0,,,,6.554,,,,,,,,
74865.0,,,,,,,,,7.614,,,
74866.0,,,,,,,,,7.613,,,
74928.0,,,,,,,,,,5.837,,
75220.0,,,,,9.959000000000001,,,,,,,
75439.0,,,,,,,7.574,,,,,
75611.0,21.196,,,,,,,,,,,
75662.0,,,,,,12.812,,,,,,
75745.0,,,,,,,,8.702,,,,
75895.0,,,,4.51,,,,,,,,
75954.0,,,,,,,,,,5.876,,
76136.0,,,,,,,,,,,7.986,
76220.0,,,,,,12.254,,,,,,
76221.0,,,,,,12.253,,,,,,
76222.0,,,,,,13.2195,,,,,,
76223.0,,,,,,9.12,,,,,,
76357.0,,,,,,,7.584,,,,,
76876.0,,,,,,,,,,5.836,,
76889.0,,,,,,,,,,5.914,,
77278.0,,,,,,,7.58,,,,,
77534.0,,,,6.449,,,,,,,,
77689.0,,,,,,,,9.017,,,,
77900.0,,,,,,,,,,5.735,,
78305.0,,,,,,,7.471,,,,,
78435.0,,,,,,,,,,,,13.162999999999998
78477.0,21.196,,,,,,,,,,,
78494.0,,,,,,,,,,,8.704333333333333,
78562.0,,,,4.547,,,,,,,,
78917.0,,,,,,,,8.438,,,,
78925.0,,,,,,,,,,5.855,,
79226.0,,,,,,,7.368,,,,,
79350.0,,15.666,,,,,,,,,,
79353.0,,18.838,,,,,,,,,,
79380.0,,,,,,,,,11.9565,,,
79381.0,,,,,,,,,12.154,,,
79396.0,,,,,,,,,,,,11.481666666666664
79398.0,,,,,,,,,,,,10.031
79581.0,,,,,4.955,,,,,,,
79849.0,,,,,,,,,,5.732,,
79854.0,,,,,,,,,,5.864,,
79918.0,,,,,12.589,,,,,,,
79919.0,,,,,9.513,,,,,,,
80115.0,,,,,,,7.405,,,,,
80334.0,,,,,,,,,,,5.63,
80374.0,,,,,,8.099,,,,,,
80406.0,,,,6.037,,,,,,,,
80766.0,,,,,,,,,,5.732,,
81070.0,,,,,,,7.37,,,,,
81142.0,21.299,,,,,,,,,,,
81325.0,,,,4.71,,,,,,,,
81405.0,,,15.77,,,,,,,,,
81830.0,,,,,,,,,,6.007,,
82092.0,,,,,,,7.269,,,,,
82480.0,,,,,,,,,9.053,,,
82713.0,,,,,,,,,,5.951,,
82804.0,,,,,,,,,,5.981,,
83015.0,,,,,,,7.271,,,,,
83110.0,,,,5.997,,,,,,,,
83635.0,,,,,,,,,,5.938,,
83760.0,,,,,,,,,,8.612666666666668,,
83762.0,,,,,,,,,,10.265,,
83763.0,,,,,,,,,,7.926,,
83767.0,,,,,,,,,,10.972,,
83768.0,,,,,,,7.437,,,10.003,,
83771.0,,,,,,,8.834,,,,,
83774.0,,,,,,,10.197,,,,,
83780.0,,,,,,,12.138,,,,,
83781.0,,,,,,,13.0535,,,,,
83804.0,21.192,,,,,,,,,,,
83942.0,,,,,,,14.74,,,,,
83979.0,,,,,,17.294,,,,,,
83980.0,,,,,,17.293,,,,,,
83982.0,,,,,,14.955,,,,,,
83984.0,,,,4.815,,17.289,,,,,,
83987.0,,,,,,14.949999999999998,,,,,,
84055.0,28.931,,,,,,,,,,,
84056.0,39.579,,,,,,,,,,,
84057.0,36.8635,,,,,,,,,,,
84058.0,32.44133333333334,,,,,,,,,,,
84059.0,23.702,,,,,,,,,,,
84124.0,,,,,,,,,,,8.807333333333334,
84447.0,,,,,,,,7.887333333333333,,,,
84537.0,,,,,11.553666666666667,,,,,,,
84781.0,,,,,,,,,,11.965,,
84860.0,,,,,,,14.849,,,,,
85343.0,,,,,,13.595,,,,,,
85584.0,,,,,,,,,,12.046,,
85720.0,,,,,,,,,,11.963,,
85777.0,,16.506333333333334,,,,,14.757,,,,,
85965.0,,,,,,,,,,,9.527,
86036.0,,,,5.608,,,,,,,,
86324.0,42.636,,,,,,,,,,,
86443.0,,,,5.118,,,,,,,,
86465.0,,,,,10.444,,,,,,,
86499.0,,,,,,,,,,11.986,,
86595.0,,,,,,,14.85,,,,,
86707.0,,,,,,,,8.056,,,,
86709.0,,,,,,,,8.055,,,,
86717.0,,,,,,,,8.046,,,,
87187.0,,,,,,,,,12.155,,,
87189.0,,,,,,,,,12.283,,,
87190.0,,,,,,,,,12.284,,,
87191.0,,,,,,,,,12.281,,,
87194.0,,,,,,,,,12.148,,,
87196.0,,,,,,,,,12.146,,,
87199.0,,,,,,,,,,,7.234333333333335,
87304.0,,,,,,,,,,,,12.989
87305.0,,,,,,,,,,,,12.988
87307.0,,,,,,,,,,,,12.986
87308.0,,,,,,,,,,,,12.986
87310.0,,,,,,,,,,,,10.724
87313.0,,,,,,,,,,,,10.721
87331.0,,17.0,,,,,,,,,,
87332.0,,23.245,,,,,,,,,,
87333.0,,25.394333333333332,,,,,,,,,,
87334.0,,29.694,,,,,,,,,,
87337.0,,29.691,,,,,,,,,,
87340.0,,35.833,,,,,,,,,,
87388.0,,,19.5135,,,,,,,,,
87389.0,,,24.427500000000002,,,,,,,,,
87395.0,,,29.334,,,,,,,,,
87399.0,,,29.332,,,,,,,,,
87443.0,,,,,12.777,,,,,,,
87444.0,,,,,13.048,,,,,,,
87445.0,,,,,14.4305,,,,,,,
87446.0,,,,,15.812,,,,,,,
87454.0,,,,,19.49,,,,,,,
87521.0,,,,,,,14.847,,,,,
87760.0,,,,,,,,9.95925,,,,
87761.0,,,,,,,,9.9585,,,,
87763.0,,,,,,,,13.968,,,,
87764.0,,,,,,,,13.967,,,,
87838.0,,,,,,,,,,11.976,,
87959.0,,,,,,,,,,,11.259,
87960.0,,,,,,,,,,,8.861,
87961.0,,,,,,,,,,,12.547,
87962.0,,,,,,,,,,,8.86,
87963.0,,,,,,,,,,,12.545,
87964.0,,,,,,,,,,,11.254,
87966.0,,,,,,,,,,,12.542,
88250.0,,,,8.949,,,,,,,,
88251.0,,,,7.034666666666666,,,,,,,,
88440.0,,,,,,,14.961,,,,,
88474.0,,,,,,21.3415,,,,,,
88475.0,,,,,,22.847,,,,,,
88643.0,,,,,,,,13.088,,,,
88666.0,,,,,,,,,,11.989,,
88787.0,,,,,,,,,,11.974,,
88799.0,,,,10.82,,,,,,,,
89025.0,42.393,,,,,,,,,,,
89086.0,,,27.646,,,,,,,,,
89087.0,,,37.475,,,,,,,,,
89108.0,,,,13.18,,,,,,,,
89362.0,,,,,,,14.85,,,,,
89430.0,,,,,,,,,,,,8.665999999999999
89435.0,,,,,17.509,,,,,,,
89573.0,,,,,,,,,,11.879,,
90287.0,,,,,,,14.846,,,,,
90409.0,,,,,,12.697,,,,,,
90833.0,,,,,,,,,,11.848,,
91137.0,,,,,,,,,8.204,,,
91206.0,,,,,,,14.968,,,,,
91534.0,,,,,,,,,16.6846,,,
91561.0,,,,9.295,,,,,,,,
91597.0,,,,,,,,,,,,12.784
91603.0,,,,,,,,,,,,12.778
91645.0,,,,13.435,,,,,,,,
91659.0,,,,,,,,,,11.946,,
91686.0,42.391,,,,,,,,,,,
91690.0,,,,,,,,,,11.924,,
91842.0,,33.48233333333334,,,,,,,,,,
92162.0,,,,,,,14.855,,,,,
92314.0,,,,,,,,,,,10.395333333333333,
92334.0,,,,,,,,10.747499999999999,,,,
92335.0,,,,,,,,10.747,,,,
92508.0,,,,,15.898,,,,,,,
92540.0,,,,,,,,,,11.982,,
93051.0,,,,,,,14.753,,,,,
93772.0,,,,,,,,,,11.773,,
93971.0,,,,,,,15.054,,,,,
94164.0,,,,,,,,,,,5.054,
94328.0,,,,9.317,,,,,,,,
94333.0,,,,13.511,,,,,,,,
94348.0,42.19,,,,,,,,,,,
94628.0,,,,,,,,,,11.842,,
94740.0,,,,,,,,,,11.771,,
94765.0,,,,,,,,11.492333333333335,,,,
94996.0,,,,,,,14.919,,,,,
95493.0,,,,,,,,,,,10.217666666666666,
95516.0,,,,,,,,,,11.976,,
95682.0,,,,,14.186,,,,,,,
95683.0,,,,,14.185,,,,,,,
95914.0,,,,,,,14.746,,,,,
96043.0,,,,,,,,12.811,,,,
96747.0,,,,,,,,,,11.769,,
96808.0,42.493,,,,,,,,,,,
96822.0,,,,,,,,,,,9.302666666666667,
96842.0,,,,,,,15.047,,,,,
96909.0,,,,,16.694,,,,,,,
96911.0,,,,,16.692,,,,,,,
97175.0,,,31.8165,,,,,,,,,
97176.0,,,29.385,,,,,,,,,
97199.0,,,,13.309,,,,,,,,
97200.0,,,,9.149,,,,,,,,
97631.0,,,,,,,,,,11.82,,
97684.0,,,,,,,,,,11.786,,
97757.0,,,,,,,15.056,,,,,
98034.0,,,,,,,,,,,,9.860666666666667
98096.0,,,,,,,,,,,,15.193
98098.0,,,,,,,,,,,,15.192
98191.0,,31.433,,,,,,,,,,
98192.0,,37.475,,,,,,,,,,
98486.0,,,,,,,,,,11.978,,
98682.0,,,,,,,14.744,,,,,
98937.0,,,,,,21.957666666666665,,,,,,
98938.0,,,,,,21.58,,,,,,
99219.0,,,,,,,,,,,11.118333333333334,
99342.0,,,,,,,,,12.438,,,
99343.0,,,,,,,,,12.437,,,
99399.0,,,,,,,,10.752,,,,
99472.0,,,,,,,,,15.538,,,
99473.0,,,,,,,,,15.536,,,
99474.0,,,,,,,,,15.535,,,
99620.0,,,,9.657,,,,,,,,
99674.0,42.291,,,,,,,,,,,
99710.0,,,,,,,14.947,,,,,
99816.0,,,,,,,,,,11.567,,
100293.0,,,,,,,,,,,,12.896666666666667
100294.0,,,,,,,,,,,,12.695
100299.0,,,,,,,,,,,,12.69
100492.0,,,,,16.036,,,,,,,
100509.0,,,,,,,,,,,11.088333333333333,
100534.0,,,,,,,15.041,,,,,
100656.0,,,,,,,,,,11.753,,
100763.0,,,,,,,,,,11.681,,
100856.0,,,,12.314,,,,,,,,
101273.0,,,,,,13.080499999999999,,,,,,
101274.0,,,,,,13.076999999999998,,,,,,
101446.0,,,,,,,14.743,,,,,
101454.0,,,,,,,,,,11.875,,
101732.0,,,,,,,,11.352333333333334,,,,
102289.0,,,,9.753,,,,,,,,
102369.0,,,,,,,15.054,,,,,
102442.0,42.082,,,,,,,,,,,
102684.0,,,,,,,,,,11.67,,
102710.0,,,,,,,,,,,9.778,
102711.0,,,,,,,,,,,7.219,
102712.0,,,,,,,,,,,9.776,
103082.0,,,,,,,,12.341,,,,
103107.0,,,,,,16.287,,,,,,
103258.0,,,,,16.8075,,,,,,,
103259.0,,,,,16.805,,,,,,,
103401.0,,,,,,,14.82,,,,,
103608.0,,,,,,,,,,11.67,,
103616.0,,,,,,,,,,11.737,,
103645.0,,,,12.11,,,,,,,,
103762.0,,,,,,,,,,14.416666666666666,,
103763.0,,,,,,,,,,14.491,,
103764.0,,,,,,,18.444499999999998,,,16.37625,,
103766.0,,,,,,,18.852,,,16.324,,
103767.0,,,,,,,21.947,,,,,
103768.0,,,,,,,24.712666666666667,,,,,
103769.0,,,,,,,23.787,,,,,
103771.0,,,,,,,24.707,,,,,
103772.0,,,,,,,,,,19.312,,
103773.0,,,,,,,26.549,,,,,
103774.0,,,,,,,,,,20.21,,
103779.0,,,,,,,27.464,,,,,
103781.0,,,,,,,,,,20.367,,
103782.0,,,,,,,,,,21.118,,
103783.0,,,,,,,,,,22.451,,
103785.0,,,,,,,29.302,,,23.289,,
103786.0,,,,,,,,,,23.367,,
103978.0,,,,,,26.06,,,,,,
103982.0,,,,,,25.240000000000002,,,,,,
103983.0,,,,,,25.511333333333337,,,,,,
103984.0,,,,,,26.056,,,,,,
103985.0,,,,,,24.4205,,,,,,
103987.0,,,,,,24.418,,,,,,
103989.0,,,,,,36.701,,,,,,
103992.0,,,,,,36.698,,,,,,
103994.0,,,,,,36.696,,,,,,
103998.0,,,,,,36.693,,,,,,
104003.0,,,,,,36.687,,,,,,
104004.0,,,,,,35.048,,,,,,
104059.0,47.49633333333333,,,,,,,,,,,
104060.0,57.564,,,,,,,,,,,
104061.0,49.68,,,,,,,,,,,
104062.0,61.351,,,,,,,,,,,
104064.0,66.678,,,,,,,,,,,
104069.0,64.006,,,,,,,,,,,
104070.0,69.33,,,,,,,,,,,
104073.0,72.099,,,,,,,,,,,
104076.0,77.311,,,,,,,,,,,
104077.0,74.763,,,,,,,,,,,
104080.0,82.53,,,,,,,,,,,
104082.0,79.865,,,,,,,,,,,
104212.0,,,,,,,29.9,,,,,
104332.0,,33.417,,,,,,,,,,
104381.0,,,,,,,,,,,,13.003
104382.0,,,,,,,,,,,,13.001999999999999
104523.0,,,,,,,,,,23.346,,
104997.0,84.176,,,,,,,,,,,
105081.0,,,,9.707,,,,,,,,
105133.0,,,,,,,29.82,,,,,
105297.0,,,,,,,,,,,11.701666666666668,
105546.0,,,,,,,,,,23.555,,
105566.0,,,,,,,,,6.987,,,
